X Y
NaN NaN
167.087955251879 -46.0613016565589
167.088568481762 -46.0594937437141
167.090186524254 -46.0587509551644
167.091221438425 -46.0560046759847
167.092104945392 -46.0551663258315
167.09626682634 -46.0543505320604
167.099228682873 -46.0518882862121
167.100202048156 -46.05020715677
167.106268453131 -46.0469107123451
167.109754746342 -46.0410121332837
167.111741008679 -46.0387569616538
167.111823409265 -46.0359980613601
167.113361167498 -46.0339775302204
167.112216505688 -46.0331456908043
167.111386529707 -46.0306954891337
167.110511752097 -46.0294461150354
167.109229698115 -46.0264874956899
167.105685674864 -46.0241123027568
167.103810569429 -46.0213626015391
167.103783934452 -46.0196295777231
167.102276827047 -46.0175111878211
167.102556055656 -46.0153762118346
167.101540256298 -46.0118845259902
167.101469560423 -46.0086925316215
167.099691244605 -46.0041582561588
167.099569739675 -45.9999964628161
167.098968427973 -45.9979233333792
167.097045375192 -45.9966773108608
167.096288802978 -45.9952585093134
167.095676609095 -45.9941104092331
167.095225885316 -45.9925349496495
167.097053695763 -45.9869588385659
167.098663649959 -45.9838783353744
167.099379926113 -45.9789486634891
167.101096813757 -45.9769289545255
167.102904110384 -45.9719053861433
167.102063007073 -45.9708219410553
167.102687732058 -45.966048238845
167.103166520932 -45.9623889020404
167.100642533162 -45.9557024095201
167.100315522529 -45.952817905241
167.100399225801 -45.9511623294201
167.100399226347 -45.9511623185736
167.100527159546 -45.9486204510251
167.099898127647 -45.9458123695671
167.097992465636 -45.9424894638362
167.098180146723 -45.9412095473778
167.097303337232 -45.9388355606693
167.09697997167 -45.936858727401
167.097146932917 -45.935211874862
167.097500084314 -45.9350474759178
167.099184961744 -45.9342593487454
167.102648762713 -45.9341319683266
167.104734921987 -45.9369434760642
167.105089721986 -45.9398208556738
167.107467415751 -45.9418937242146
167.107635722606 -45.9423532544967
167.107697823146 -45.9438628356861
167.108455397109 -45.9464703368408
167.109042517049 -45.951584594408
167.109415246767 -45.9548310704252
167.111495568214 -45.9574408129006
167.113096617502 -45.9588545426573
167.114755895012 -45.9591910518525
167.115614862623 -45.9598086638791
167.115584489883 -45.9620281695378
167.115242202521 -45.9630418179415
167.115907985667 -45.9652689447336
167.11506098569 -45.9669430406693
167.116366407085 -45.9689662501324
167.116173108063 -45.9751220437887
167.116589588815 -45.9773981159473
167.115897944603 -45.9803501852472
167.116025009928 -45.9829399037061
167.114708976015 -45.9852776601712
167.114030970642 -45.9882423941447
167.115234432667 -45.9886145550579
167.115338321548 -45.9957612393669
167.116210714348 -46.0002460336137
167.116107893976 -46.0062638502597
167.11635762739 -46.009856771744
167.118169874604 -46.0116698742352
167.119108163089 -46.014233531462
167.12014493391 -46.0158198907633
167.121671519756 -46.0169375907492
167.12192184121 -46.0184341072888
167.123119011188 -46.0208131764936
167.123689806931 -46.0229058396382
167.125687704761 -46.0238865173992
167.125565047763 -46.0250846003495
167.127086539047 -46.0271138653901
167.126121244479 -46.0281208008578
167.125572266285 -46.0313992574145
167.122810682541 -46.0330692488938
167.122442972131 -46.0345571805757
167.123719509223 -46.0368763465241
167.12392174574 -46.0381334015224
167.12348133434 -46.0392896176578
167.122065852282 -46.040401453777
167.121164209346 -46.0416753399177
167.117513913948 -46.0446552128129
167.116141395724 -46.0476054214698
167.116141266871 -46.0486001200369
167.112382297846 -46.0540795205608
167.111379840991 -46.0565329097069
167.110768516131 -46.0607749714002
167.111082066267 -46.0637176828584
167.111507257075 -46.0677078858171
167.110033876483 -46.0694423684613
167.109712688591 -46.0704770755873
167.110631821215 -46.0712550650293
167.109734553548 -46.0787543721578
167.110256750882 -46.079980387955
167.114439795739 -46.0835010546374
167.115884099117 -46.084173473148
167.120557635029 -46.0850079301489
167.130336220457 -46.0887996030397
167.136453773694 -46.0903056001786
167.138099461691 -46.0911411037839
167.138178285009 -46.0924980729106
167.139117500223 -46.0938980563845
167.139286593867 -46.0939182771885
167.143391205455 -46.0944093945171
167.147588867648 -46.0956699815168
167.148773030699 -46.0967844717489
167.149179629675 -46.1013147328069
167.14906296025 -46.1046192873431
167.149480436066 -46.1068951032366
167.150908982475 -46.1088064724192
167.151605717651 -46.1097386406393
167.153100986517 -46.1117390617708
167.152533799579 -46.1130638481843
167.152480051658 -46.1131132081362
167.148956315707 -46.116349004253
167.148547202282 -46.1203875344355
167.147458296487 -46.122592716277
